symbol,form,cat,features,notes
publicly,publicly,Adv,-Adv,
C-emb-decl,*e*,C-decl,+T -C,
C-mat-decl,*e*,C-decl,+T -C,
that,that,C-decl,+T -C,
if,if,C-int,+T -C,
whether,whether,C-int,+T -C,simplification: treating as head rather than specifier
C-emb-wh,*e*,C-int,+T +wh -C,
C-mat-wh,*e*,C-int,+T +wh -C,
C-rel,*e*,C-rel,+T +wh -C,
that-rel,that,C-rel,+T +wh -C,
a,a,D-art,+N -D,
an,an,D-art,+N -D,
D-e,*e*,D-art,+N -D,general-purpose empty D
the,the,D-art,+N -D,
her,her,D-poss,+N -D,
their,their,D-poss,+N -D,
I,I,D-pro,-D,
PRO,*e*,D-pro,-D,
you,you,D-pro,-D,
how,how,D-wh-pro,-D -wh,assume adjunct to vP
Op,*e*,D-wh-pro,-D -wh,used for “that” relatives
what,what,D-wh-pro,-D -wh,
when,when,D-wh-pro,-D -wh,assume adjunct to TP
where,where,D-wh-pro,-D -wh,assume adjunct to vP
who,who,D-wh-pro,-D -wh,
why,why,D-wh-pro,-D -wh,assume adjunct to TP
Prog,*e*,lv,+lv -lv,Simplification: treating as little v
lv-tr,*e*,lv,+V +D -lv,
actress,actress,N-comm,-N,
agent,agent,N-comm,-N,
article,article,N-comm,-N,
author,author,N-comm,-N,
award,award,N-comm,-N,
book,book,N-comm,-N,
bribery,bribery,N-comm,-N,
bride_and_groom,bride_and_groom,N-comm,-N,
bus,bus,N-comm,-N,
cake,cake,N-comm,-N,
campaign,campaign,N-comm,-N,
candidate,candidate,N-comm,-N,
car,car,N-comm,-N,
censors,censors,N-comm,-N,
cheerleader,cheerleader,N-comm,-N,
chef,chef,N-comm,-N,
child,child,N-comm,-N,
child_prodigy,child_prodigy,N-comm,-N,
classes,classes,N-comm,-N,
client,client,N-comm,-N,
club,club,N-comm,-N,
college_president,college_president,N-comm,-N,
complaints,complaints,N-comm,-N,
congressman,congressman,N-comm,-N,
cookie,cookie,N-comm,-N,
critic,critic,N-comm,-N,
customer,customer,N-comm,-N,
debate,debate,N-comm,-N,
detective,detective,N-comm,-N,
director,director,N-comm,-N,
documentary,documentary,N-comm,-N,
email,email,N-comm,-N,
employee,employee,N-comm,-N,
executive,executive,N-comm,-N,
famous_actor,famous_actor,N-comm,-N,
famous_artist,famous_artist,N-comm,-N,
famous_band,famous_band,N-comm,-N,
famous_band,famous_band,N-comm,-N,
flyer,flyer,N-comm,-N,
fundraiser,fundraiser,N-comm,-N,
game,game,N-comm,-N,
general,general,N-comm,-N,
gift,gift,N-comm,-N,
girl,girl,N-comm,-N,
guest,guest,N-comm,-N,
home_owner,home_owner,N-comm,-N,
home_owner,home_owner,N-comm,-N,
house,house,N-comm,-N,
joke,joke,N-comm,-N,
lawyer,lawyer,N-comm,-N,
letter,letter,N-comm,-N,
letters,letters,N-comm,-N,
lobbyist,lobbyist,N-comm,-N,
local_hero,local_hero,N-comm,-N,
locker,locker,N-comm,-N,
magazine_article,magazine_article,N-comm,-N,
manager,manager,N-comm,-N,
match,match,N-comm,-N,
mayor,mayor,N-comm,-N,
meeting,meeting,N-comm,-N,
millionaire,millionaire,N-comm,-N,
movie,movie,N-comm,-N,
musician,musician,N-comm,-N,
necklace,necklace,N-comm,-N,
new_book,new_book,N-comm,-N,
new_play,new_play,N-comm,-N,
new_playhouse,new_playhouse,N-comm,-N,
new_song,new_song,N-comm,-N,
news_report,news_report,N-comm,-N,
news_reporter,news_reporter,N-comm,-N,
office_manager,office_manager,N-comm,-N,
orphans,orphans,N-comm,-N,
other_customer,other_customer,N-comm,-N,
parents,parents,N-comm,-N,
peace_activist,peace_activist,N-comm,-N,
picture,picture,N-comm,-N,
pie,pie,N-comm,-N,
pizza,pizza,N-comm,-N,
play,play,N-comm,-N,
police_officer,police_officer,N-comm,-N,
Pope,Pope,N-comm,-N,
president,president,N-comm,-N,
priest,priest,N-comm,-N,
principal,principal,N-comm,-N,
professor,professor,N-comm,-N,
quarterback,quarterback,N-comm,-N,
real_estate_agent,real_estate_agent,N-comm,-N,
refugees,refugees,N-comm,-N,
restaurant,restaurant,N-comm,-N,
reverand,reverand,N-comm,-N,misspelled in source
review,review,N-comm,-N,
rumor,rumor,N-comm,-N,
secretary,secretary,N-comm,-N,
senator,senator,N-comm,-N,
soldier,soldier,N-comm,-N,
soldier,soldier,N-comm,-N,
song,song,N-comm,-N,
speech,speech,N-comm,-N,
struggling_student,struggling_student,N-comm,-N,
students,students,N-comm,-N,
talented_actor,talented_actor,N-comm,-N,
teacher,teacher,N-comm,-N,
television,television,N-comm,-N,
terrorist,terrorist,N-comm,-N,
tourists,tourists,N-comm,-N,
tutor,tutor,N-comm,-N,
vampires,vampires,N-comm,-N,
verdict,verdict,N-comm,-N,
violent_stories,violent_stories,N-comm,-N,
waiter,waiter,N-comm,-N,
young_couple,young_couple,N-comm,-N,
book-pobj,book,N-pobj,+P -N,book about
complaints-pobj,complaints,N-pobj,+P -N,complaints about
documentary-pobj,documentary,N-pobj,+P -N,documentary about
email-pobj,email,N-pobj,+P -N,email from
flyer-pobj,flyer,N-pobj,+P -N,flyer from
fundraiser-pobj,fundraiser,N-pobj,+P -N,fundraiser for
gift-pobj,gift,N-pobj,+P -N,gift from
joke-pobj,joke,N-pobj,+P -N,joke about
magazine_article-pobj,magazine_article,N-pobj,+P -N,magazine article about
meeting-pobj,meeting,N-pobj,+P -N,meeting with
movie-pobj,movie,N-pobj,+P -N,movie about
new_book-pobj,new_book,N-pobj,+P -N,new book about
new_play-pobj,new_play,N-pobj,+P -N,new play about
new_song-pobj,new_song,N-pobj,+P -N,new song by
news_report-pobj,news_report,N-pobj,+P -N,collapsed compound
picture-pobj,picture,N-pobj,+P -N,picture of
play-pobj,play,N-pobj,+P -N,play about
review-pobj,review,N-pobj,+P -N,review by
rumor-pobj,rumor,N-pobj,+P -N,rumor about
song-pobj,song,N-pobj,+P -N,song by
speech-pobj,speech,N-pobj,+P -N,speech by
Aaron,Aaron,N-prop,-N,
Abraham_Lincoln,Abraham_Lincoln,N-prop,-N,
Adele,Adele,N-prop,-N,
Alan,Alan,N-prop,-N,
Amy,Amy,N-prop,-N,
Andrew,Andrew,N-prop,-N,
Avril_Lavigne,Avril_Lavigne,N-prop,-N,
Caroline,Caroline,N-prop,-N,
Casey,Casey,N-prop,-N,
Chad_Krueger,Chad_Krueger,N-prop,-N,
Christine,Christine,N-prop,-N,
Elizabeth,Elizabeth,N-prop,-N,
George,George,N-prop,-N,
Heather,Heather,N-prop,-N,
Jane,Jane,N-prop,-N,
Jared,Jared,N-prop,-N,
Jeff,Jeff,N-prop,-N,
Jessica,Jessica,N-prop,-N,
Laura,Laura,N-prop,-N,
Martin_Luther_King_Jr,Martin_Luther_King_Jr,N-prop,-N,
Matt,Matt,N-prop,-N,
Paul,Paul,N-prop,-N,
Rachel,Rachel,N-prop,-N,
Ralph,Ralph,N-prop,-N,
Stacey,Stacey,N-prop,-N,
Tom,Tom,N-prop,-N,
announcement-sc,announcement,N-sent-comp,+C -N,
claim-n-sc,claim,N-sent-comp,+C -N,
fact-sc,fact,N-sent-comp,+C -N,
rumor-sc,rumor,N-sent-comp,+C -N,
about,about,P,+D -P,
at,at,P,+D -P,
by,by,P,+D -P,
for,for,P,+D -P,
from,from,P,+D -P,
of,of,P,+D -P,
on,on,P,+D -P,
to,to,P,+D -P,
with,with,P,+D -P,
could,could,T,+lv -T,
should,should,T,+lv -T,
T-past,*e*,T,+lv -T,
T-pres,*e*,T,+lv -T,
to-control,to,T,+lv -T,
will,will,T,+lv -T,
neglect,neglect,V-control,+T -V,
share,share,V-dobj-pobj,+P +D -V,share X with
take,take,V-dobj-pobj,+P +D -V,take X with
write-dobj-pobj,write,V-dobj-pobj,+P +D -V,
blush,blush,V-int,-V,
cough,cough,V-int,-V,
faint,faint,V-int,-V,
laugh,laugh,V-int,-V,
sigh,sigh,V-int,-V,
smile,smile,V-int,-V,
wink,wink,V-int,-V,
worry,worry,V-int,-V,
apologize,apologize,V-pobj,+P -V,apologize to
care,care,V-pobj,+P -V,care about
complain,complain,V-pobj,+P -V,complain about
negotiate,negotiate,V-pobj,+P -V,negotiate with
perform,perform,V-pobj,+P -V,perform with (note: probably actually an adjunct)
rely,rely,V-pobj,+P -V,rely on
speak,speak,V-pobj,+P -V,speak to/with
sympathize,sympathize,V-pobj,+P -V,sympathize with
talk,talk,V-pobj,+P -V,talk to
vote,vote,V-pobj,+P -V,vote for
announce,announce,V-sent-comp,+C -V,
believe,believe,V-sent-comp,+C -V,
claim,claim,V-sent-comp,+C -V,
deny,deny,V-sent-comp,+C -V,
hear,hear,V-sent-comp,+C -V,
say,say,V-sent-comp,+C -V,
think,think,V-sent-comp,+C -V,
wonder,wonder,V-sent-comp,+C -V,
accompany,accompany,V-trans,+D -V,
admire,admire,V-trans,+D -V,
afford,afford,V-trans,+D -V,
bake,bake,V-trans,+D -V,
blackmail,blackmail,V-trans,+D -V,
buy,buy,V-trans,+D -V,
call,call,V-trans,+D -V,
capture,capture,V-trans,+D -V,
cause,cause,V-trans,+D -V,
chase,chase,V-trans,+D -V,
confront,confront,V-trans,+D -V,
criticize,criticize,V-trans,+D -V,
delay,delay,V-trans,+D -V,
develop,develop,V-trans,+D -V,
dislike,dislike,V-trans,+D -V,
eat,eat,V-trans,+D -V,
hire,hire,V-trans,+D -V,
hire,hire,V-trans,+D -V,
imitate,imitate,V-trans,+D -V,
impress,impress,V-trans,+D -V,
inspire,inspire,V-trans,+D -V,
insult,insult,V-trans,+D -V,
interrupt,interrupt,V-trans,+D -V,
interview,interview,V-trans,+D -V,
join,join,V-trans,+D -V,
kiss,kiss,V-trans,+D -V,
like,like,V-trans,+D -V,
lose,lose,V-trans,+D -V,
make,make,V-trans,+D -V,
meet,meet,V-trans,+D -V,
offend,offend,V-trans,+D -V,
photograph,photograph,V-trans,+D -V,
praise,praise,V-trans,+D -V,
promote,promote,V-trans,+D -V,
prompt,prompt,V-trans,+D -V,
read,read,V-trans,+D -V,
receive,receive,V-trans,+D -V,
research,research,V-trans,+D -V,
respect,respect,V-trans,+D -V,
see,see,V-trans,+D -V,
sell,sell,V-trans,+D -V,
serve,serve,V-trans,+D -V,
start,start,V-trans,+D -V,
steal,steal,V-trans,+D -V,
support,support,V-trans,+D -V,
thank,thank,V-trans,+D -V,
win,win,V-trans,+D -V,
write,write,V-trans,+D -V,
