id,sent,tree,notes,
WH.whe.non.sh.01,Who thinks that Paul stole the necklace?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Paul)) (steal (the (necklace)))))))))),"wh-movement, whether island, non-island, short",
WH.whe.non.sh.02,Who thinks that Matt chased the bus?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Matt)) (chase (the (bus)))))))))),,
WH.whe.non.sh.03,Who thinks that Tom sold the television?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Tom)) (sell (the (television)))))))))),,
WH.whe.non.sh.04,Who thinks that Stacey wrote the letter?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Stacey)) (write (the (letter)))))))))),,
WH.whe.non.sh.05,Who thinks that Aaron bought the house?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Aaron)) (buy (the (house)))))))))),,
WH.whe.non.sh.06,Who thinks that George read the book?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (George)) (read (the (book)))))))))),,
WH.whe.non.sh.07,Who thinks that Heather saw the movie?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Heather)) (see (the (movie)))))))))),,
WH.whe.non.sh.08,Who thinks that Casey baked the cake?,(C-mat-wh (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Casey)) (bake (the (cake)))))))))),,
WH.whe.non.lg.01,What does the detective think that Paul stole?,(C-mat-wh (T-pres (lv-tr (the (detective)) (think (that (T-past (lv-tr (D-e (Paul)) (steal (what))))))))),"wh-movement, whether island, non-island, long",
WH.whe.non.lg.02,What does the police officer think that Matt chased?,(C-mat-wh (T-pres (lv-tr (the (police_officer)) (think (that (T-past (lv-tr (D-e (Matt)) (chase (what))))))))),,
WH.whe.non.lg.03,What does the manager think that Tom sold?,(C-mat-wh (T-pres (lv-tr (the (manager)) (think (that (T-past (lv-tr (D-e (Tom)) (steal (what))))))))),,
WH.whe.non.lg.04,What does the soldier think that Stacey wrote?,(C-mat-wh (T-pres (lv-tr (the (soldier)) (think (that (T-past (lv-tr (D-e (Stacey)) (write (what))))))))),,
WH.whe.non.lg.05,What does the agent think that Aaron bought?,(C-mat-wh (T-pres (lv-tr (the (agent)) (think (that (T-past (lv-tr (D-e (Aaron)) (buy (what))))))))),,
WH.whe.non.lg.06,What does the teacher think that George read?,(C-mat-wh (T-pres (lv-tr (the (teacher)) (think (that (T-past (lv-tr (D-e (George)) (read (what))))))))),,
WH.whe.non.lg.07,What does the girl think that Heather saw?,(C-mat-wh (T-pres (lv-tr (the (girl)) (think (that (T-past (lv-tr (D-e (Heather)) (see (what))))))))),,
WH.whe.non.lg.08,What does the guest think that Casey baked?,(C-mat-wh (T-pres (lv-tr (the (guest)) (think (that (T-past (lv-tr (D-e (Casey)) (bake (what))))))))),,
WH.whe.isl.sh.01,Who wonders whether Paul stole the necklace?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Paul)) (steal (the (necklace)))))))))),"wh-movement, whether island, island, short",
WH.whe.isl.sh.02,Who wonders whether Matt chased the bus?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Matt)) (chase (the (bus)))))))))),,
WH.whe.isl.sh.03,Who wonders whether Tom sold the television?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Tom)) (sell (the (television)))))))))),,
WH.whe.isl.sh.04,Who wonders whether Stacey wrote the letter?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Stacey)) (write (the (letter)))))))))),,
WH.whe.isl.sh.05,Who wonders whether Aaron bought the house?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Aaron)) (buy (the (house)))))))))),,
WH.whe.isl.sh.06,Who wonders whether George read the book?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (George)) (read (the (book)))))))))),,
WH.whe.isl.sh.07,Who wonders whether Heather saw the movie?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Heather)) (see (the (movie)))))))))),,
WH.whe.isl.sh.08,Who wonders whether Casey baked the cake?,(C-mat-wh (T-pres (lv-tr (who) (wonder (whether (T-past (lv-tr (D-e (Casey)) (bake (the (cake)))))))))),,
WH.whe.isl.lg.01,What does the detective wonder whether Paul stole?,(C-mat-wh (T-pres (lv-tr (the (detective)) (wonder (whether (T-past (lv-tr (D-e (Paul)) (steal (what))))))))),"wh-movement, whether island, island, long",
WH.whe.isl.lg.02,What does the police officer wonder whether Matt chased?,(C-mat-wh (T-pres (lv-tr (the (police_officer)) (wonder (whether (T-past (lv-tr (D-e (Matt)) (chase (what))))))))),,
WH.whe.isl.lg.03,What does the manager wonder whether Tom sold?,(C-mat-wh (T-pres (lv-tr (the (manager)) (wonder (whether (T-past (lv-tr (D-e (Tom)) (steal (what))))))))),,
WH.whe.isl.lg.04,What does the soldier wonder whether Stacey wrote?,(C-mat-wh (T-pres (lv-tr (the (soldier)) (wonder (whether (T-past (lv-tr (D-e (Stacey)) (write (what))))))))),,
WH.whe.isl.lg.05,What does the agent wonder whether Aaron bought?,(C-mat-wh (T-pres (lv-tr (the (agent)) (wonder (whether (T-past (lv-tr (D-e (Aaron)) (buy (what))))))))),,
WH.whe.isl.lg.06,What does the teacher wonder whether George read?,(C-mat-wh (T-pres (lv-tr (the (teacher)) (wonder (whether (T-past (lv-tr (D-e (George)) (read (what))))))))),,
WH.whe.isl.lg.07,What does the girl wonder whether Heather saw?,(C-mat-wh (T-pres (lv-tr (the (girl)) (wonder (whether (T-past (lv-tr (D-e (Heather)) (see (what))))))))),,
WH.whe.isl.lg.08,What does the guest wonder whether Casey baked?,(C-mat-wh (T-pres (lv-tr (the (guest)) (wonder (whether (T-past (lv-tr (D-e (Casey)) (bake (what))))))))),,
RC.sub.non.sh.01,I voted for the congressman who you think the lobbyist offended.,(C-mat-decl (T-past (lv-tr (I) (vote (for (the (congressman (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (lobbyist)) (offend (who)))))))))))))))),"rc-movement, simple NPs, object",
RC.sub.non.sh.02,I met the local hero who you think the president praised.,(C-mat-decl (T-past (lv-tr (I) (meet (the (local_hero (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (president)) (praise (who))))))))))))))),,
RC.sub.non.sh.03,I called the candidate who you think the millionaire supported.,(C-mat-decl (T-past (lv-tr (I) (call (the (candidate (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (millionaire)) (support (who))))))))))))))),,
RC.sub.non.sh.04,I interviewed the soldier who you think the terrorist captured.,(C-mat-decl (T-past (lv-tr (I) (interview (the (soldier (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (terrorist)) (capture (who))))))))))))))),,
RC.sub.non.sh.05,I researched the Pope who you think the priest criticized.,(C-mat-decl (T-past (lv-tr (I) (research (the (Pope (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (priest)) (criticize (who))))))))))))))),,
RC.sub.non.sh.06,I respect the musician who you think the orphans can rely on.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (musician (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (orphans)) (rely (on (who)))))))))))))))),,
RC.sub.non.sh.07,I admire the director who you think the new playhouse hired.,(C-mat-decl (T-pres (lv-tr (I) (admire (the (director (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (new_playhouse)) (hire (who))))))))))))))),,
RC.sub.non.sh.08,I spoke to the author who you think the censors complained about.,(C-mat-decl (T-past (lv-tr (I) (speak (to (the (author (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (censors)) (complain (about (who))))))))))))))))),,
RC.sub.non.lg.01,I voted for the congressman who you think offended the lobbyist.,(C-mat-decl (T-past (lv-tr (I) (vote (for (the (congressman (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who)) (offend (the (lobbyist)))))))))))))))),"rc-movement, simple NPs, subject",
RC.sub.non.lg.02,I met the local hero who you think praised the president.,(C-mat-decl (T-past (lv-tr (I) (meet (the (local_hero (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who)) (praise (the (president))))))))))))))),,
RC.sub.non.lg.03,I called the candidate who you think supported the millionaire .,(C-mat-decl (T-past (lv-tr (I) (call (the (candidate (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who) (support (the (millionaire)))))))))))))))),,
RC.sub.non.lg.04,I interviewed the soldier who you think captured the terrorist .,(C-mat-decl (T-past (lv-tr (I) (interview (the (soldier (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who) (capture (the (terrorist)))))))))))))))),,
RC.sub.non.lg.05,I researched the Pope who you think criticized the priest.,(C-mat-decl (T-past (lv-tr (I) (research (the (Pope (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who) (criticize (the (priest)))))))))))))))),,
RC.sub.non.lg.06,I respect the musician who you think cares about orphans.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (musician (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-pres (lv-tr (who) (care (about (D-e (orphans))))))))))))))))),,
RC.sub.non.lg.07,I admire the director who you think developed the new play.,(C-mat-decl (T-pres (lv-tr (I) (admire (the (director (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who) (develop (the (new_play)))))))))))))))),,
RC.sub.non.lg.08,I spoke to the author who you think complained about the censors .,(C-mat-decl (T-past (lv-tr (I) (speak (to (the (author (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (who) (complain (about (the (censors)))))))))))))))))),,
RC.sub.isl.sh.01,I voted for the congressman who you think the gift from the lobbyist prompted the rumor about.,(C-mat-decl (T-past (lv-tr (I) (vote (for (the (congressman (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (gift-pobj (from (the (lobbyist))))) (prompt (the (rumor-pobj (about (who))))))))))))))))))),"rc-movement, complex NPs, object",
RC.sub.isl.sh.02,I met the local hero who you think the speech by the president interrupted the news report about.,(C-mat-decl (T-past (lv-tr (I) (meet (the (local_hero (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (speech-pobj (by (the (president))))) (interrupt (the (news_report-pobj (about (who)))))))))))))))))),,
RC.sub.isl.sh.03,I called the candidate who you think the meeting with the millionaire delayed the fundraiser for.,(C-mat-decl (T-past (lv-tr (I) (call (the (candidate (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (meeting-pobj (with (the (millionaire))))) (delay (the (fundraiser-pobj (for (who)))))))))))))))))),,
RC.sub.isl.sh.04,I interviewed the soldier who you think the movie about the terrorist inspired the new book about.,(C-mat-decl (T-past (lv-tr (I) (interview (the (soldier (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (movie-pobj (about (the (terrorist))))) (inspire (the (new_book-pobj (about (who)))))))))))))))))),,
RC.sub.isl.sh.05,I researched the Pope who you think the email from the priest criticized the joke about.,(C-mat-decl (T-past (lv-tr (I) (research (the (Pope (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (email-pobj (from (the (priest))))) (criticize (the (joke-pobj (about (who)))))))))))))))))),,
RC.sub.isl.sh.06,I respect the musician who you think the picture of orphans accompanied the magazine article about.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (musician (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (picture (of (the (orphans))))) (accompany (the (magazine_article-pobj (about (who)))))))))))))))))),,
RC.sub.isl.sh.07,I admire the peace activist who you think the flyer from the director promoted the new play about.,(C-mat-decl (T-pres (lv-tr (I) (admire (the (peace_activist (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (flyer-pobj (from (the (director))))) (promote (the (new_play-pobj (about (who)))))))))))))))))),,
RC.sub.isl.sh.08,I spoke to the author who you think the new book about vampires caused the complaints about.,(C-mat-decl (T-past (lv-tr (I) (speak (to (the (author (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (new_book-pobj (about (vampires)))) (cause (the (complaints-pobj (about (who))))))))))))))))))),,
RC.sub.isl.lg.01,I voted for the congressman who you think the gift from prompted the rumor about bribery.,(C-mat-decl (T-past (lv-tr (I) (vote (for (the (congressman (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (gift-pobj (from (who)))) (prompt (the (rumor-pobj (about (bribery))))))))))))))))))),"rc-movement, complex NPs, subject",
RC.sub.isl.lg.02,I met the local hero who you think the speech by interrupted the news report about the president.,(C-mat-decl (T-past (lv-tr (I) (meet (the (local_hero (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (speech-pobj (by (who)))) (interrupt (the (news_report-pobj (about (the (president))))))))))))))))))),,
RC.sub.isl.lg.03,I called the candidate who you think the meeting with delayed the fundraiser for the campaign.,(C-mat-decl (T-past (lv-tr (I) (call (the (candidate (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (meeting-pobj (with (who)))) (delay (the (fundraiser-pobj (for (the (campaign))))))))))))))))))),,
RC.sub.isl.lg.04,I interviewed the soldier who you think the movie about inspired the new book about the terrorist.,(C-mat-decl (T-past (lv-tr (I) (interview (the (soldier (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (movie-pobj (about (who)))) (inspire (the (new_book-pobj (about (the (terrorist))))))))))))))))))),,
RC.sub.isl.lg.05,I spoke with the priest who you think the email from criticized the joke about the Pope.,(C-mat-decl (T-past (lv-tr (I) (research (the (priest (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (email-pobj (from (who)))) (criticize (the (joke-pobj (about (the (Pope))))))))))))))))))),,
RC.sub.isl.lg.06,I respect the musician who you think the picture of accompanied the magazine article about orphans.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (musician (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (picture (of (who)))) (accompany (the (magazine_article-pobj (about (D-e (orphans))))))))))))))))))),,
RC.sub.isl.lg.07,I admire the peace activist who you think the flyer from promoted the new play about refugees.,(C-mat-decl (T-pres (lv-tr (I) (admire (the (peace_activist (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (flyer-pobj (from (who)))) (promote (the (new_play-pobj (about (D-e (refugees))))))))))))))))))),,
RC.sub.isl.lg.08,I spoke to the author who you think the new book about caused the complaints about violent stories.,(C-mat-decl (T-past (lv-tr (I) (speak (to (the (author (C-rel (T-pres (lv-tr (you) (think (C-emb-decl (T-past (lv-tr (the (new_book-pobj (about (who)))) (cause (the (complaints-pobj (about (D-e (violent_stories)))))))))))))))))))),,
RC.wh.non.sh.01,I take classes with the professor who thinks that Paul will tutor the struggling student. ,(C-mat-decl (T-pres (lv-tr (I) (take (D-e (classes)) (with (the (professor (C-rel (T-pres (lv-tr (who) (think (that (will (lv-tr (D-e (Paul)) (tutor (the (struggling_student))))))))))))))))),"rc-movement, wh island, non-island, short",
RC.wh.non.sh.02,I respect the soldier who thinks that Matt will impress the general.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (soldier (C-rel (T-pres (lv-tr (who) (think (that (will (lv-tr (D-e (Matt)) (impress (the (general)))))))))))))))),,
RC.wh.non.sh.03,I dislike the real estate agent who thinks that Caroline will confront the home owner.,(C-mat-decl (T-pres (lv-tr (I) (dislike (the (real_estate_agent (C-rel (T-pres (lv-tr (who) (think (that (will (lv-tr (D-e (Caroline)) (confront (the (home_owner)))))))))))))))),,
RC.wh.non.sh.04,I like the director who thinks that Tom should hire the talented actor.,(C-mat-decl (T-pres (lv-tr (I) (like (the (director (C-rel (T-pres (lv-tr (who) (think (that (should (lv-tr (D-e (Tom)) (hire (the (talented_actor)))))))))))))))),,
RC.wh.non.sh.05,I called the teacher who thinks that Christine will apologize to the principal.,(C-mat-decl (T-past (lv-tr (I) (call (the (soldier (C-rel (T-pres (lv-tr (who) (think (that (will (lv-tr (D-e (Christine)) (apologize (to (the (principal))))))))))))))))),,
RC.wh.non.sh.06,I negotiated with the agent who thinks that Alan will perform with the famous band.,(C-mat-decl (T-past (lv-tr (I) (negotiate (with (the (agent (C-rel (T-pres (lv-tr (who) (think (that (will (lv-tr (D-e (Alan)) (perform (with (the (famous_band)))))))))))))))))),,
RC.wh.non.sh.07,I share a locker with the cheerleader who thinks that Jessica kissed the quarterback.,(C-mat-decl (T-pres (lv-tr (I) (share (a (locker)) (with (the (cheerleader (C-rel (T-pres (lv-tr (who) (think (that (T-past (lv-tr (D-e (Jessica)) (kiss (the (quarterback))))))))))))))))),,
RC.wh.non.sh.08,I spoke with the waiter who thinks that Rachel should talk to the chef.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (waiter (C-rel (T-pres (lv-tr (who) (think (that (should (lv-tr (D-e (Rachel)) (talk (to (the (chef)))))))))))))))))),,
RC.wh.non.lg.01,I take classes with the struggling student who the professor thinks that Paul will tutor.,(C-mat-decl (T-pres (lv-tr (I) (take (D-e (classes)) (with (the (struggling_student (C-rel (T-pres (lv-tr (the (professor)) (think (that (will (lv-tr (D-e (Paul)) (tutor (who)))))))))))))))),"rc-movement, wh island, non-island, long",
RC.wh.non.lg.02,I respect the general who the soldier thinks that Matt will impress.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (general (C-rel (T-pres (lv-tr (the (soldier)) (think (that (will (lv-tr (D-e (Matt)) (impress (who))))))))))))))),,
RC.wh.non.lg.03,I dislike the home owner who the real estate agent thinks that Caroline will confront.,(C-mat-decl (T-pres (lv-tr (I) (dislike (the (home_owner (C-rel (T-pres (lv-tr (the (real_estate_agent)) (think (that (will (lv-tr (D-e (Caroline)) (confront (who))))))))))))))),,
RC.wh.non.lg.04,I like the talented actor who the director thinks that Tom should hire.,(C-mat-decl (T-pres (lv-tr (I) (like (the (talented_actor (C-rel (T-pres (lv-tr (the (director)) (think (that (should (lv-tr (D-e (Tom)) (hire (who))))))))))))))),,
RC.wh.non.lg.05,I called the principal who the teacher thinks that Christine will apologize to.,(C-mat-decl (T-past (lv-tr (I) (call (the (principal (C-rel (T-pres (lv-tr (the (teacher)) (think (that (will (lv-tr (D-e (Christine)) (apologize (to (who)))))))))))))))),,
RC.wh.non.lg.06,I negotiated with the famous band who the agent thinks that Alan will perform with.,(C-mat-decl (T-past (lv-tr (I) (negotiate (with (the (famous_band (C-rel (T-pres (lv-tr (the (agent)) (think (that (will (lv-tr (D-e (Alan)) (perform (with (who))))))))))))))))),,
RC.wh.non.lg.07,I share a locker with the quarterback who the cheerleader thinks that Jessica kissed.,(C-mat-decl (T-pres (lv-tr (I) (share (a (locker)) (with (the (quarterback (C-rel (T-pres (lv-tr (the (cheerleader)) (think (that (T-past (lv-tr (D-e (Jessica)) (kiss (who)))))))))))))))),,
RC.wh.non.lg.08,I spoke with the chef who the waiter thinks that Rachel should talk to.,(C-mat-decl (T-past (lv-tr (I) (speak (with (the (chef (C-rel (T-pres (lv-tr (the (waiter)) (think (that (should (lv-tr (D-e (Rachel)) (talk (to (who))))))))))))))))),,
RC.wh.isl.sh.01,I take classes with the professor who wonders when Paul will tutor the struggling student. ,(C-mat-decl (T-pres (lv-tr (I) (take (D-e (classes)) (with (the (professor (C-rel (T-pres (lv-tr (who) (wonder (C-emb-wh (will (when) (lv-tr (D-e (Paul)) (tutor (the (struggling_student))))))))))))))))),"rc-movement, wh island, island, short",
RC.wh.isl.sh.02,I respect the soldier who wonders how Matt will impress the general.,(C-mat-decl (T-pres (lv-tr (I) (respect (the (soldier (C-rel (T-pres (lv-tr (who) (wonder (C-emb-wh (will (lv-tr (how) (D-e (Matt)) (impress (the (general)))))))))))))))),,
RC.wh.isl.sh.03,I dislike the real estate agent who wonders where Caroline will confront the home owner.,(C-mat-decl (T-pres (lv-tr (I) (dislike (the (real_estate_agent (C-rel (T-pres (lv-tr (who) (wonder (C-emb-wh (will (lv-tr (where) (D-e (Caroline)) (confront (the (home_owner)))))))))))))))),,
